Week,Yield,Area
2020-11-22,2,44
2020-11-29,1,37
2020-12-06,2,43
2020-12-13,1,47
2020-12-20,2,37
2020-12-27,1,43
2021-01-03,2,54
2021-01-10,1,54
2021-01-17,2,52
2021-01-24,2,56
2021-01-31,3,66
2021-02-07,2,66
2021-02-14,1,79
2021-02-21,2,86
2021-02-28,3,100
2021-03-07,2,65
2021-03-14,3,68
2021-03-21,2,70
2021-03-28,4,62
2021-04-04,3,66
2021-04-11,2,74
2021-04-18,3,56
2021-04-25,1,45
2021-05-02,2,37
2021-05-09,1,31
2021-05-16,2,35
2021-05-23,1,37
2021-05-30,3,51
2021-06-06,4,44
2021-06-13,1,41
2021-06-20,2,41
2021-06-27,2,44
2021-07-04,3,46
2021-07-11,2,52
2021-07-18,2,44
2021-07-25,2,57
2021-08-01,2,61
2021-08-08,3,61
2021-08-15,<1,54
2021-08-22,1,62
2021-08-29,2,70
2021-09-05,1,53
2021-09-12,2,49
2021-09-19,1,59
2021-09-26,1,53
2021-10-03,1,63
2021-10-10,1,47
2021-10-17,1,43
2021-10-24,3,45
2021-10-31,2,36
2021-11-07,3,40
2021-11-14,2,46